ausente2_ausente,ausente2_matthei,ausente2_parisi,ausente2_kaiser,ausente2_kast,ausente2_jara,ausente2_otros,ausente2_nulosblancos,nulosblancos2_ausente,nulosblancos2_matthei,nulosblancos2_parisi,nulosblancos2_kaiser,nulosblancos2_kast,nulosblancos2_jara,nulosblancos2_otros,nulosblancos2_nulosblancos,kast2_ausente,kast2_matthei,kast2_parisi,kast2_kaiser,kast2_kast,kast2_jara,kast2_otros,kast2_nulosblancos,jara2_ausente,jara2_matthei,jara2_parisi,jara2_kaiser,jara2_kast,jara2_jara,jara2_otros,jara2_nulosblancos,comuna,n_original,n_consolidado
0.932,0.045,0.019,0.011,0.012,0.01,0.07,0.007,0.011,0.15,0.148,0.008,0.011,0.01,0.006,0.261,0.026,0.685,0.7,0.919,0.959,0.019,0.12,0.533,0.031,0.12,0.133,0.062,0.017,0.961,0.803,0.199,GORBEA,41,41
0.385,0.009,0.047,0.009,0.168,0.008,0.13,0.03,0.005,0.008,0.132,0.007,0.011,0.006,0.449,0.678,0.553,0.971,0.462,0.971,0.633,0.016,0.017,0.171,0.057,0.012,0.359,0.013,0.188,0.97,0.404,0.121,GRANEROS,73,73
0.829,0.009,0.021,0.029,0.011,0.011,0.007,0.007,0.011,0.07,0.164,0.084,0.011,0.012,0.008,0.365,0.013,0.694,0.514,0.797,0.96,0.016,0.858,0.621,0.147,0.227,0.301,0.089,0.018,0.961,0.128,0.007,HIJUELAS,44,44
0.794,0.009,0.04,0.034,0.01,0.009,0.01,0.363,0.015,0.006,0.161,0.018,0.012,0.008,0.006,0.341,0.171,0.976,0.495,0.715,0.958,0.023,0.975,0.281,0.021,0.009,0.303,0.233,0.019,0.96,0.01,0.016,HUALAIHUE,25,25
0.878,0.032,0.009,0.009,0.009,0.01,0.006,0.009,0.05,0.036,0.132,0.016,0.014,0.03,0.007,0.322,0.031,0.916,0.336,0.963,0.956,0.046,0.223,0.102,0.041,0.016,0.523,0.012,0.02,0.915,0.764,0.567,HUALAÑE,27,27
0.839,0.018,0.026,0.014,0.016,0.024,0.007,0.028,0.034,0.014,0.128,0.082,0.033,0.027,0.182,0.439,0.086,0.645,0.482,0.871,0.919,0.044,0.013,0.232,0.04,0.322,0.365,0.033,0.033,0.905,0.797,0.3,HUALPEN,200,100
0.891,0.012,0.029,0.01,0.011,0.015,0.007,0.007,0.009,0.065,0.195,0.016,0.019,0.04,0.01,0.187,0.02,0.478,0.501,0.962,0.954,0.033,0.438,0.799,0.08,0.445,0.275,0.013,0.017,0.912,0.545,0.007,HUALQUI,58,58
0.905,0.006,0.024,0.181,0.013,0.011,0.011,0.005,0.05,0.243,0.067,0.009,0.01,0.009,0.012,0.424,0.023,0.294,0.783,0.739,0.966,0.05,0.012,0.483,0.023,0.457,0.125,0.07,0.011,0.929,0.964,0.089,HUARA,12,12
0.856,0.009,0.049,0.009,0.008,0.015,0.014,0.265,0.01,0.33,0.108,0.009,0.009,0.011,0.014,0.715,0.017,0.652,0.571,0.972,0.438,0.09,0.014,0.008,0.117,0.009,0.271,0.011,0.545,0.884,0.958,0.013,HUASCO,23,23
0.896,0.011,0.017,0.04,0.011,0.01,0.055,0.007,0.011,0.115,0.157,0.017,0.012,0.013,0.008,0.346,0.07,0.719,0.266,0.82,0.96,0.019,0.327,0.337,0.022,0.154,0.56,0.123,0.017,0.957,0.61,0.31,HUECHURABA,202,100
